Project_Name,Project_URL,Project_Hash,Num_Runs
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,180.0
BeautifulSauce,https://github.com/nateraw/BeautifulSauce,f587e638abea1716427713d8a814e30331efb18b,180.0
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,200.0
Cmaker,https://github.com/ychnlgy/Cmaker,dc70f0edba931f3b8823e5b2946b68348c768d85,152.0
Coinsta,https://github.com/PyDataBlog/Coinsta,7cdce24669e5ab40852f0b88329c68e5bb568f5b,80.0
ConfigMaster,https://github.com/SunDwarf/ConfigMaster,8018aa415da55c84edaa8a49664f674758a14edd,180.0
DotDot,https://github.com/Gsllchb/DotDot,89a6f7a86866de9c348f7e91da57c359c94568db,200.0
EVEPrest,https://github.com/Celeo/Prest,7c94bf0b7dabecad0bd8b66229b2906dabdb8e79,180.0
EZconfig,https://github.com/shalev67/EZconfig,2cedba67fbfe0ca448ccf7134b51e4e9329a6d16,160.0
Flask-Googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,200.0
Flask-InterfacePubSub,https://github.com/rafaelportugal/Flask-InterfacePubSub,60904ceafed88e25c1504aa0300d37780c09c50b,180.0
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,200.0
Flaskerizer,https://github.com/brettvanderwerff/Flaskerizer,5a9724804f4e479fc3289e8644dc788adfeff06d,200.0
GC-analysis,https://github.com/tonyyzy/GC_analysis,a8c7be317d24703272d8fa3fb76a97b4d8d7b38f,200.0
GOApy,https://github.com/leopepe/GOApy,a8e0dfe5f0f593107884ad54f89a27f67ee28129,180.0
GetOldTweets3,https://github.com/Mottl/GetOldTweets3,54a8e73d56953c7f664e073e121fa1413de4fbff,200.0
GoogleFreeTrans,https://github.com/ziliwang/GoogleFreeTrans,b1f067107b95005778ea8c019a7a903e77e25859,140.0
HikLoad,https://github.com/Tedyst/HikLoad,b3eb7be65bd34040992e1b7b15f23ff4ce2e8dc4,200.0
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,160.0
MusicAPI,https://github.com/kushao1267/MusicAPI,c6340d5dd6df869a90a44a311d3cd7a383bd4cf4,180.0
NestedDictionary,https://github.com/cahoy/NestedDictionary,881f0ea8af36a60fcd1b9d7a84b1aec4cd7072b2,200.0
NeuroKit.py,https://github.com/neuropsychology/NeuroKit.py,fc77dc94e421d5b166a5516b7186bae483d753bd,180.0
OnToma,https://github.com/opentargets/OnToma,0a76f30c03eb44a62223a5c83f13e2f8d9ba67a4,160.0
Predictive-Hyperparameter-Optimisation,https://github.com/DobromirM/Predictive-Hyperparameter-Optimisation,b34bfae356a75f12e4dc8a6615568fdbd28943cb,180.0
PyInvestor,https://github.com/SamurAi-sarl/PyInvestor,09259ad387dab597a7a525ae73090dffb886968f,180.0
PyJsonFriendly,https://github.com/maboualidev/PyJsonFriendly,8b1ee498bc7a27024851b5101bf09913031e2477,180.0
PyRedisEasyIO,https://github.com/washad/PyRedisEasyIO,30d566760aa622ae6e8fcc1fa4abdc79b6bda614,160.0
Python-Beautifurl,https://github.com/hintofbasil/Python-Beautifurl,312db910400b24d24cb03966a221da2462c4f824,200.0
RanCat,https://github.com/mattjegan/rancat,b59f5abf7e187816034be9169ecd53af87ce017d,200.0
RandomFileTree,https://github.com/klieret/RandomFileTree,aaaa975ae61afa6f0f5b481ebafcfa0f0216e471,200.0
RaspberryPiMovementDetector,https://github.com/KSanthanam/RaspberryPiMovementDetector,a415e5aca22fa41ce0eba0b61cf56d3035f92f64,200.0
SCout,https://github.com/holzkohlengrill/SCout,8fd1eca0607b27d6e0c537b2ea1211d23356edff,200.0
Santaslist,https://github.com/obihann/Santaslist,e678a70b41047defc42261d0b483fb75677c5c10,200.0
SlideRunner,https://github.com/maubreville/SlideRunner,2a68af8b9cb2238d95cfe3281379de40b5469fc0,200.0
Twitch-Python,https://github.com/PetterKraabol/Twitch-Python,49ddf2c826f147e009d0931eee59cf81ad5fea7d,180.0
WattTime,https://github.com/stoltzmaniac/WattTime,1f2761a752c6cc241c20e854a7a247349b57be36,180.0
WikidataIntegrator,https://github.com/sulab/WikidataIntegrator,2ce3477b47447e335dd5e7413396fecf306c7146,180.0
Yinotify,https://github.com/peter-zyj/Yinotify,3adde3a7f2847bf45f5958e98fe7618d3d02ce16,120.0
acl-anthology,https://github.com/icoxfog417/acl-anthology,88b4d006a38301be6690bdf43073cf98be7bdd50,200.0
addon-check,https://github.com/xbmc/addon-check,35cde58ed8b22b8df27efe232d9b2b2c25b079d5,160.0
aio-usb-hotplug,https://github.com/ntamas/aio-usb-hotplug,7eed5a87c974038db6c2b8e2a998e9b8b79ec5ac,160.0
aiopylimit,https://github.com/dmarkey/aiopylimit,b4075a8ac30dbbef59a2243f618a35a2f54b590c,180.0
aioworkers-mongo,https://github.com/aioworkers/aioworkers-mongo,552d7721c244740fb101c25f1ae4e1f6c7d04357,200.0
aioworkers-orm,https://github.com/aioworkers/aioworkers-orm,a470eaf2298e30b6c8e1e91034e50c064f07a3de,200.0
aioworkers-prometheus,https://github.com/aioworkers/aioworkers-prometheus,91915e094239ae01b3db432dbff5afd34ab36984,160.0
aioworkers-tg,https://github.com/aioworkers/aioworkers-tg,eccd0704c6b98956aa4a9f0dc89b1300138d113e,200.0
airflow_xplenty,https://github.com/apartmentlist/airflow_xplenty,445c21782b985bfdbfffa4608a1dc90411af8aed,160.0
alegra,https://github.com/okchaty/alegra,6c423b23a24650c9121da5f165f6f03669b98468,200.0
alfacoins-api-python,https://github.com/alfacoins/alfacoins-api-python,e0ae740812693bb42a729aa809358233130987a1,180.0
alphanum-code,https://github.com/ylaizet/alphanum_code,fb5cd313dc41f046aac01ff01d6e1561d17894a6,180.0
amazonscraper,https://github.com/tducret/amazon-scraper-python,ba10859c0c385c3d4b76429132eb307f4172df0e,180.0
amphipathic,https://github.com/ecolell/amphipathic,b4d2d49e2fc9224fb7a6dc067c86dc8fa7c3505e,200.0
analytic_shrinkage,https://github.com/matzhaugen/analytic_shrinkage,752a0f90696b1ca27a8b84ada3616cdfc98004a9,200.0
asgi-s3,https://github.com/erm/asgi-s3,ef898f9f013e0e5cd5c52f3503e27a41bca4fa2c,160.0
ashpool,https://github.com/cktc/ashpool,3a35638ecff85da94952cebf7f8684ed564693bc,200.0
astrocyte,https://github.com/dbbs-lab/astrocyte,3fa30fa2897ef1ea4dd94b2c9d6ddd3efb2a2b1a,180.0
async-kinesis-client,https://github.com/whale2/async-kinesis-client,e7df499141854b8b7638a7ab0adce14a4d28201e,180.0
async-vk-api,https://github.com/Suenweek/async-vk-api,d10cdde800e4921e13f6d258d7a9f72bb4eeb37e,160.0
asyncloop,https://github.com/dgkim5360/asyncloop,e4f50156a74ee6430a8ade66f201ba61066396e4,180.0
aud,https://github.com/zdhoward/aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,180.0
autodiscover,https://github.com/nicolaszein/autodiscover,3009f81c51b7a4cb077427e429d740db98eb173b,180.0
autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,200.0
autoyaml,https://github.com/martyni/autoyaml,be3f450667bcca477683e63bcc49c67c5d170855,180.0
bankroll,https://github.com/bankroll-py/bankroll,f1f147143e0fc8380267bee91da7d6fb4f409ada,180.0
base10,https://github.com/mattdavis90/base10,93577e85215e4cd7f02a504ff6a23501d56a1748,100.0
basic_auth,https://github.com/rorymurdock/basic_auth,622f2133c13988cec549f4ea55bed14e50f90876,180.0
bitcoin_graph,https://github.com/joeblankenship1/bitcoin_graph,8f5dee94b0cc82a0a0d8a412709a13a38d180167,200.0
bitmex-websocket,https://github.com/joliveros/bitmex-websocket,dcefdaffd226ee30308bfca86aab065dc57817d0,200.0
bleak,https://github.com/virantha/bleak,0226cdef0af2d6bcdf5a84d87c437ed75aaa7726,180.0
blogit,https://github.com/oz123/blogit,15b94969fa43aaf8dc677a8184b144ae8c0f7700,200.0
bloomtime,https://github.com/Poogles/bloomtime,94343456192c0a4837ddad2c421d59c7a3fd02fa,200.0
bluebees,https://github.com/matheuswhite/bluebees,ca18ee6dae60393480bac3893038790957727748,200.0
bomweather,https://github.com/aguinane/bomweather,cfe945a64900a9207a44c42551ec2c365916b7d2,200.0
bookiesports,https://github.com/pbsa/bookiesports,6c19d1c5871ee2a3ff1719ebb85d027bd5e23d0a,180.0
bootstrap_env,https://github.com/jedie/bootstrap_env,ab68025d8f6b9a17d8feeed83e8aae26e3f28769,160.0
botanick,https://github.com/avidot/botanick,793908f8e2ea72a8fe9c5bf47a4482359564a8c0,180.0
bottle-neck.git,https://github.com/agile4you/bottle-neck.git,ebc670a4b178255473d68e9b4122ba04e38f4810,180.0
bupper,https://github.com/michaelpb/bupper,d3751472b90132e781dfb32310b5b567658b7f31,200.0
cachepot,https://github.com/kitsuyui/cachepot,c2e6a1f6c1eb3f2359b95bd7208d9347f885aff3,200.0
camel,https://github.com/eevee/camel,1f9132ce43f6933bd3e91681404aab817876b3e1,160.0
cantal,https://github.com/tailhook/cantal-py,108c81fd3d4667e124044c44a972cd73668d88ec,200.0
capsicum,https://github.com/m-mizutani/capsicum,a2d10f65691cf3b685557927da1929a405b63272,200.0
carbonize,https://github.com/eillarra/carbonize,efc89b8a9e44f9d64110406ce70929a9671517c7,180.0
cdQA,https://github.com/cdqa-suite/cdQA,40387925db8f0da44a5bd2fe549cde675a92d479,180.0
cenpy,https://github.com/ljwolf/cenpy,03eefcfd885c48e018cf74abaf46ee03aa7ac119,180.0
cfgsaver,https://github.com/prahladyeri/cfgsaver,9654076b418c96bcddbf2fddc5fdb0f6f4117278,200.0
cfitall,https://github.com/wryfi/cfitall,690a84fe9fd820b8b77bc2bb1fe621231a2ed3f7,160.0
colltools,https://github.com/JakubTesarek/colltools,e50f98ccda33ab409fcdba277a39f071824e24c7,180.0
compare-mt,https://github.com/neulab/compare-mt,92502b30b1f228773179a01dd86fe1b8dfd400e5,180.0
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,200.0
configaro,https://github.com/mojochao/configaro,d7b432fb2f99c4cb3c3208082f0afff62454c83d,180.0
configparse,https://github.com/jyn514/configparse,d7a4ee5b121de2be1858104723bdb7ac47df64ce,180.0
cork,https://github.com/psbleep/cork,e2c5f9d79d102f46e334f608389a10ae864003d3,200.0
crfmnes,https://github.com/nmasahiro/crfmnes,5fc9625c86135fb5e8824f867a08cc410d3638bd,200.0
cricket-cli,https://github.com/cbirajdar/cricket-cli,fb0c8752aef14f2e30f7c0e772486a23c7e4a14d,180.0
cronjob,https://github.com/havefun-plus/cronjob,a2fd9289f44696c5c06ece9cec8dc5315300eecf,200.0
cronpi,https://github.com/dakc/cronpi,6edb324c621f691b2840dcd6b54087b1044417ed,180.0
cuckoopy,https://github.com/rajathagasthya/cuckoopy,e5fab0c4826387f99ddafb0365759cb7111cfd64,140.0
cw-sdk-python,https://github.com/cryptowatch/cw-sdk-python,92bd90db16dfc116c0708d19d27208d9bfc990c1,180.0
cycle-calendar-generator,https://github.com/ROldford/cycle_calendar_generator,729194154cc540a1d21fa77a77dba3ff820d56be,200.0
cylleneus,https://github.com/wmshort/cylleneus,93de520e082300b90f9f92a4ce405f3a2123748d,180.0
cytominer-database,https://github.com/cytomining/cytominer-database,3926b55627e76a319460d6ac3ff4bdf65e1f5f98,185.0
