Name,URL,Hash,Test,No_Runs
Verifone,https://github.com/vilkasgroup/Verifone,5509c08767a9b482cfe5a9572854cf4c73ad6c02,Verifone/tests/test_verifone.py::TestVerifone::test_023_get_endpoint,180.0
amphipathic,https://github.com/ecolell/amphipathic,b4d2d49e2fc9224fb7a6dc067c86dc8fa7c3505e,amphipathic/tests/test_secondary_structure.py::test_secondary_structure::test_jpred_1,200.0
analytic_shrinkage,https://github.com/matzhaugen/analytic_shrinkage,752a0f90696b1ca27a8b84ada3616cdfc98004a9,analytic_shrinkage/nonlinshrink/test/test_analytic_shrinkage.py::test_analytic_shrinkage::test_demean,200.0
analytic_shrinkage,https://github.com/matzhaugen/analytic_shrinkage,752a0f90696b1ca27a8b84ada3616cdfc98004a9,analytic_shrinkage/nonlinshrink/test/test_analytic_shrinkage.py::test_analytic_shrinkage::test_ols,200.0
cuckoopy,https://github.com/rajathagasthya/cuckoopy,e5fab0c4826387f99ddafb0365759cb7111cfd64,cuckoopy/tests/test_cuckoofilter.py::test_cuckoofilter::test_insert_filter_full,140.0
darkchess,https://github.com/vishalsubbiah/darkchess,c626de547c3e58a77f25fddb86de9b07bc47ae86,darkchess/darkchess/tests/test_bishop/test_bishop.py::test_bishop::test_bishop_moves,180.0
darkchess,https://github.com/vishalsubbiah/darkchess,c626de547c3e58a77f25fddb86de9b07bc47ae86,darkchess/darkchess/tests/test_knight/test_knight.py::test_knight::test_knight_moves,180.0
data-partitioner,https://github.com/brahle/data_partitioner,c37bca05576648c3f69f8694951bb2ae9ea9ed21,data-partitioner/tests/data_suplier_test.py::DataSuplierTest::test_training_percent,200.0
dockerfile_bakery,https://github.com/kujyp/dockerfile_bakery,fc531752d9fe901375636377dac884a6b750e146,dockerfile_bakery/tests/test_generate_case02.py::test_generate_case02::test_generate_should_generate_dockerfiles,200.0
dockerfile_bakery,https://github.com/kujyp/dockerfile_bakery,fc531752d9fe901375636377dac884a6b750e146,dockerfile_bakery/tests/test_generate_case02.py::test_generate_case02::test_should_build_script_contains_right_statement,200.0
